BLOCK,PLOT,TREE,SPP,DAM1,DEDUCT1,DAM2,DEDUCT2,DAM3,DEDUCT3,T_DEDUCT
B2,10,1352,BS,,,WV,20,,,7
B2,10,1360,RS,,,FUNG,3,,,1
B2,10,1360,RS,,,FUNG,3,,,1
B2,10,1367,RS,BF,15,,,,,5
B2,10,1367,RS,BF,15,,,,,5
B2,10,1369,RS,SWP,4,,,,,1
B2,10,1373,RS,PV,,PV,,PV,,0
B2,10,1374,BF,BF,2,,,,,1
B2,10,1376,BS,SPK,20,,,,,7
B2,10,1380,RS,,,,,,,0
B2,10,1383,BS,BF,2,,,,,1
B2,10,1384,BS,BF,5,,,,,2
B2,10,1389,BS,,,,,,,0
B2,10,1393,RS,,,,,,,0
B2,10,1394,RS,,,,,,,0
B2,10,1398,RS,,,,,,,0
B2,10,1399,BS,BF,10,,,,,3
B2,10,1401,RS,,,,,,,0
B2,10,1404,BS,,,,,,,0
B2,11,1,RS,BF,10,SPK,8,,,6
B2,11,2,BF,,,,,,,0
B2,11,3,BF,,,,,,,0
B2,11,4,RM,,,,,,,0
B2,11,6,WP,WV,30,WV,15,,,15
B2,11,9,WP,BF,0,WV/SWP,40,WV/SWP,40,27
B2,11,10,BF,,,,,,,0
B2,11,13,WP,BF/WV,60,WV,80,WV,30,57
B2,11,15,WP,,,WV,25,WV,15,13
B2,11,17,WP,WV,20,WV,35,WV,15,23
B2,11,19,BF,,,,,,,0
B2,11,20,WP,WV,80,WV,100,WV,70,83
B2,11,24,RM,SWP,15,FK,60,,,25
B2,11,25,BF,,,,,,,0
B2,11,26,RO,,,,,,,0
B2,11,27,WP,WV,10,WV/FK,30,MT,40,27
B2,11,28,WP,,,FK/SWP,65,SWP,70,45
B2,11,30,BF,,,,,,,0
B2,11,34,RS,,,,,,,0
B2,11,37,RM,BF,,,,,,0
B2,11,37,RM,BF,,,,,,0
B2,11,38,RM,,,FK,10,,,3
B2,11,38,RM,,,FK,10,,,3
B2,11,40,BF,,,,,,,0
B2,11,40,BF,,,,,,,0
B2,11,42,WP,BF,5,WV,10,,,5
B2,11,42,WP,BF,5,WV,10,,,5
B2,11,43,WP,BF/WV,15,WV,10,WV,10,12
B2,11,43,WP,BF/WV,15,WV,10,WV,10,12
B2,11,44,WP,WV,10,WV,10,,,7
B2,11,44,WP,WV,10,WV,10,,,7
B2,11,45,BF,,,,,,,0
B2,11,45,BF,,,,,,,0
B2,11,50,BF,,,,,,,0
B2,11,50,BF,,,,,,,0
B2,11,51,BF,,,,,,,0
B2,11,51,BF,,,,,,,0
B2,11,54,RS,,,,,,,0
B2,11,54,RS,,,,,,,0
B3,1,1413,WS,,,,,,,0
B3,1,1418,WS,,,,,,,0
B3,1,1419,WS,,,FK,2,,,1
B3,1,1420,WS,,,,,,,0
B3,1,1431,WS,PV,,PV,,PV,,0
B3,1,1432,WS,,,,,,,0
B3,1,1433,WS,,,,,,,0
B3,1,1448,WS,,,,,,,0
B3,1,1459,WS,PV,,PV,,PV,,0
B3,1,1467,WS,PV,,PV,,FT,3,1
B3,2,1481,BS,BF,5,,,,,2
B3,2,1482,BS,BF,5,,,,,2
B3,2,1486,RS,,,SPK,4,,,1
B3,2,1490,BS,,,,,,,0
B3,2,1492,BS,BF,7,,,,,2
B3,2,1498,BS,SN,2,,,,,1
B3,2,1499,BS,,,,,,,0
B3,2,1504,RS,,,,,,,0
B3,2,1511,RS,,,,,,,0
B3,2,1512,RS,,,SPK,4,,,1
B3,2,1513,RS,,,,,,,0
B3,2,1514,RS,,,,,,,0
B3,2,1515,BS,,,,,,,0
B3,2,1516,RS,BF,2,,,,,1
B3,2,1520,BS,,,SN,5,,,2
B3,2,1522,BS,,,,,,,0
B3,2,1523,BS,,,,,,,0
B3,2,1525,RS,,,,,,,0
B3,2,1531,RS,,,,,,,0
B3,2,1536,RS,,,,,,,0
B3,3,1548,BS,SN,30,SPK,5,SN,10,15
B3,3,1559,BS,SN,5,,,,,2
B3,3,1560,BS,PV,,PV,,PV,,0
B3,3,1568,BS,,,,,,,0
B3,3,1570,BS,,,FK/WV,60,MT,60,40
B3,3,1578,BS,,,,,,,0
B3,3,1583,BS,,,,,,,0
B3,3,1591,BS,,,,,,,0
B3,3,1593,BS,,,FK/WV,10,FK/WV,15,8
B3,3,1595,BS,,,,,,,0
B3,4,1608,RS,,,,,,,0
B3,4,1609,WS,,,,,,,0
B3,4,1612,RS,,,,,,,0
B3,4,1614,RS,,,,,,,0
B3,4,1615,RS,,,,,,,0
B3,4,1618,WS,,,,,,,0
B3,4,1622,WS,,,,,,,0
B3,4,1623,WS,,,,,SN,30,10
B3,4,1625,WS,,,,,WV,20,7
B3,4,1629,RS,,,SPK,10,,,3
B3,4,1631,WS,BF,15,,,SN,30,15
B3,4,1632,RS,,,,,,,0
B3,4,1634,WS,,,,,,,0
B3,4,1637,WS,,,,,,,0
B3,4,1638,RS,,,WV,10,,,3
B3,4,1641,WS,,,,,,,0
B3,4,1646,RS,PV,,PV,,PV,,0
B3,4,1647,WS,PV,,PV,,WV,20,7
B3,4,1648,RS,,,,,,,0
B3,4,1653,WS,,,,,,,0
B3,5,1657,BS,,,,,,,0
B3,5,1658,BS,,,,,,,0
B3,5,1663,WS,,,,,,,0
B3,5,1667,BS,SWP,5,,,,,2
B3,5,1668,WS,,,,,,,0
B3,5,1669,BS,SN,10,,,,,3
B3,5,1671,WS,WV,15,WV,15,,,10
B3,5,1674,BS,,,,,,,0
B3,5,1675,WS,,,,,,,0
B3,5,1676,WS,,,,,,,0
B3,5,1680,BS,SPK,5,WV,5,,,3
B3,5,1681,WS,,,,,,,0
B3,5,1685,BS,,,,,,,0
B3,5,1687,BS,SWP,3,,,,,1
B3,5,1688,WS,,,,,WV,10,3
B3,5,1693,WS,PV,,PV,,PV,,0
B3,5,1695,WS,,,WV,15,WV,25,13
B3,5,1698,BS,,,,,,,0
B3,5,1705,WS,SWP,4,,,,,1
B3,5,1711,BS,,,,,,,0
B3,6,1751,NS,,,SPK,5,FT,2,2
B3,6,1754,RS,,,,,,,0
B3,6,1755,RS,,,,,,,0
B3,6,1757,NS,BF,3,SPK,5,SN,2,3
B3,6,1761,NS,,,FK/SPK,16,SN,2,6
B3,6,1762,RS,PV,,PV,,PV,,0
B3,6,1765,NS,SPK,3,SPK,3,WV,20,9
B3,6,1765,NS,,,SPK,7,FT,8,5
B3,6,1772,RS,,,,,,,0
B3,6,1775,NS,SPK,7,,,FT,5,4
B3,6,1776,NS,,,SPK,4,FT,3,2
B3,6,1781,RS,,,,,,,0
B3,6,1783,RS,,,,,,,0
B3,6,1784,NS,SPK,8,SPK,15,SN,3,9
B3,6,1787,NS,,,FK,40,,,13
B3,6,1788,RS,RV,,RV,,RV,,0
B3,6,1791,RS,,,,,,,0
B3,6,1794,RS,,,,,,,0
B3,6,1797,NS,SPK/SN,5,SK/WV,8,,,4
B3,6,1801,RS,,,,,,,0
B3,7,1817,BS,SWP,20,,,,,7
B3,7,1820,BS,BF,7,,,,,2
B3,7,1823,NS,SPK,3,,,,,1
B3,7,1825,NS,,,SPK,3,,,1
B3,7,1826,BS,,,,,,,0
B3,7,1833,NS,AP,12,FK,25,,,12
B3,7,1834,BS,RT,20,,,,,7
B3,7,1838,BS,PV,,PV,,PV,,0
B3,7,1839,BS,PV,,PV,,PV,,0
B3,7,1856,NS,,,WV,7,,,2
B3,7,1858,NS,SPK,4,SPK,4,,,3
B3,7,1861,NS,,,,,,,0
B3,7,1865,NS,,,FK/WV,60,,,20
B3,7,1866,BS,,,,,,,0
B3,7,1867,NS,SPK,2,SPK,6,FK,10,6
B3,7,1869,NS,,,,,,,0
