Block,Plot,Tree,Spp.,DBH,Ht,HCB,CW1,CW2,Comments
B2,2,853,NS,6.5,,,,,
B2,2,844,NS,10.2,,,,,
B2,2,843,NS,8.6,,,,,
B2,2,8432,NS,5.9,,,,,DID NOT HAVE TAG
B2,2,842,NS,10.3,,,,,
B2,2,820,NS,8.5,,,,,
B2,2,821,NS,8.1,,,,,
B2,2,819,NS,8,,,,,
B2,2,815,NS,3.9,,,,,
B2,2,818,NS,11.4,,,,,
B2,3,922,WS,7.2,5.04,72,,,
B2,3,921,WS,6.4,,,,,
B2,3,937,WS,8,,,,,
B2,3,916,BS,6.2,,,,,
B2,3,911,WS,5.9,,,,,
B2,3,917,WS,9.4,,,,,
B2,3,910,WS,8,,,,,
B2,3,907,BS,6.6,,,,,
B2,3,906,WS,6,,,,,
B2,3,898,WS,9.5,,,,,
B2,3,894,WS,5.6,,,,,
B2,3,897,BS,6.9,,,,,
B2,3,893,WS,3,,,,,
B2,3,896,WS,4,,,,,
B2,3,881,BF,4.7,,,,,BALSAM FIR
B2,3,880,BS,8.9,,,,,
B2,3,879,BS,6.5,,,,,SAME BASE AS 878
B2,3,878,BS,6.7,,,,,SAME BASE AS 879
B2,3,882,WS,6.8,,,,,
B2,3,874,WS,6.2,,,,,
B2,3,872,BS,8.2,,,,,SAME BASE AS 873
B2,3,873,BS,11.4,,,,,SAME BASE AS 872
B2,3,875,BS,10.4,,,,,
B2,3,876,BS,9.5,,,,,
B2,3,877,BS,5.9,,,,,
B2,3,895,WS,11,,,,,
B2,3,906,WS,10.2,,,,,
B2,3,909,BS,7.3,,,,,
B2,3,918,WS,6.1,4.25,41,,,
B2,3,919,WS,6.9,,,,,
B2,3,933,BS,6.6,,,,,LEANING
B2,3,934,BS,9.3,,,,,
B2,3,920,BS,7.8,,,,,
B2,3,936,WS,6.5,,,,,
B2,3,927,BS,6,,,,,
B2,3,928,WS,7.2,,,,,
B2,3,925,WS,4.3,,,,,
B2,3,927,BS,6.6,,,,,
B2,3,926,WS,0.8,,,,,
B2,3,913,BS,8.1,,,,,
B2,3,914,WS,4.2,,,,,
B2,3,901,BS,8.3,,,,,
B2,3,903,WS,5.5,,,,,
B2,3,889,WS,4,,,,,
B2,3,902,BS,7.7,,,,,
B2,3,890,BF,1.5,,,,,BALSAM FIR
B2,3,888,WS,4.4,,,,,
B2,3,886,BS,9,5.68,6,,,
B2,3,887,BS,9,,,,,
B2,3,857,WS,7.9,,,,,
B2,3,858,WS,4.9,,,,,
B2,3,859,WS,5.7,,,,,
B2,3,885,BS,10.3,,,,,
B2,3,870,BS,7.7,,,,,
B2,3,871,BS,7,,,,,
B2,3,891,WS,5.2,,,,,
B2,3,883,BF,1.5,,,,,BALSAM FIR
B2,3,900,BS,9,,,,,
B2,3,884,WS,2.6,2.43,0.22,,,
B2,3,894,BS,3.2,,,,,
B2,3,904,WS,7.3,,,,,
B2,3,899,BF,4.3,,,,,BALSAM FIR
B2,3,924,BS,5.7,,,,,
B2,3,905,BS,7.9,,,,,
B2,3,923,WS,5.8,,,,,
B2,3,930,BS,8.3,,,,,
B2,3,931,WS,4,,,,,
B2,3,932,WS,6.6,,,,,
B2,4,987,WS,6.6,,,,,
B2,4,988,RS,6.8,,,,,
B2,4,986,RS,6,,,,,
B2,4,985,WS,9.2,,,,,
B2,4,973,WS,9.7,,,,,
B2,4,974,RS,5.1,,,,,
B2,4,972,RS,3,,,,,
B2,4,961,WS,9.6,,,,,
B2,4,962,RS,6.5,,,,,
B2,4,960,RS,DBH HT,,,,,
B2,4,959,WS,8.7,,,,,
B2,4,948,WS,9.5,,,,,
B2,4,947,RS,5.6,,,,,
B2,4,949,RS,6.4,,,,,
B2,4,938,WS,10.1,,,,,
B2,4,946,WS,11.2,,,,,
B2,4,939,WS,5.9,,,,,
B2,4,950,RS,5,,,,,UPROOT AND ALIVE
B2,4,945,WS,11.8,,,,,
B2,4,958,RS,7.5,,,,,
B2,4,951,RS,3.5,,,,,
B2,4,963,WS,9,,,,,
B2,4,964,WS,3.2,,,,,
B2,4,971,WS,8.2,,,,,
B2,4,975,WS,6.3,,,,,
B2,4,976,RS,3.3,,,,,SAME BASE AS 977
B2,4,977,RS,5.7,,,,,SAME BASE AS 976
B2,4,984,RS,3,,,,,
B2,4,990,WS,3.9,,,,,
B2,4,989,WS,7.2,,,,,
B2,4,983,RS,5.9,,,,,
B2,4,982,WS,8.3,,,,,
B2,4,978,WS,7.3,,,,,
B2,4,979,RS,5.4,,,,,
B2,4,970,WS,9,,,,,
B2,4,957,RS,3.1,,,,,
B2,4,966,RS,3.1,,,,,
B2,4,952,WS,9,,,,,
B2,4,965,WS,7.3,,,,,
B2,4,956,WS,9.5,,,,,
B2,4,944,WS,8.4,,,,,
B2,4,941,RS,1.5,,,,,
B2,4,940,WS,6.5,,,,,
B2,4,942,WS,4.2,,,,,
B2,4,953,WS,9.7,,,,,
B2,4,954,WS,8.5,,,,,
B2,4,955,RS,2.9,,,,,
B2,4,967,WS,5.6,,,,,
B2,4,969,RS,4.2,,,,,NICE CHRISTMAS SHAPE
B2,4,980,WS,5.9,,,,,
B2,4,824-1,RS,3,,,,,LEANING
B2,4,981,RS,4.5,,,,,
B2,4,968,WS,1.8,,,,,
B2,4,1051,RS,0.9,,,,,
B2,4,1035,WS,7.3,,,,,
B2,4,1034,RS,4.1,,,,,
B2,4,1011,WS,8,6.16,2.1,,,
B2,4,1010,WS,5.9,,,,,
B2,5,1006,WS,7.6,,,,,
B2,5,1034,WS,4.2,,,,,
B2,5,1013,WS,6,,,,,
B2,5,WS2,WS,,,,,,
B2,5,1033,WS,3.3,,,,,
B2,5,1028,WS,2.1,,,,,
B2,5,1036,WS,0.8,,,,,
B2,5,1020,WS,7.2,,,,,
B2,5,1027,WS,4.3,,,,,
B2,5,1034,WS,4.3,,,,,
B2,5,1037,WS,7.1,,,,,
B2,5,1021,WS,8.9,,,,,
B2,5,1015,WS,9,,,,,
B2,5,1035,WS,7.6,,,,,
B2,5,1022,WS,6.7,,,,,
B2,5,1048,WS,6.9,,,,,
B2,5,1050,WS,4.9,,,,,
B2,5,1053,WS,6.2,,,,,
B2,5,1023,WS,2.1,,,,,
B2,5,WS3,WS,1.3,,,,,
B2,5,1066,WS,5.4,,,,,
B2,5,WS4,WS,,<1.3,,,,
B2,5,1052,WS,3.8,,,,,
B2,5,1067,WS,8.2,,,,,
B2,5,1051,WS,1,,,,,
B2,5,981,WS,3.7,,,,,
B2,5,1022,WS,6.7,,,,,
B2,5,WS5,WS,5.3,,,,,
B2,5,968,WS,2.1,,,,,
B2,5,1022,WS,6.7,,,,,
B2,5,954,WS,8.9,,,,,
B2,5,1024,WS,9.2,,,,,
B2,5,967,WS,5.6,,,,,
B2,5,1039,WS,5.9,,,,,
B2,5,994,WS,6.8,,,,,
B2,5,996,WS,5.5,,,,,
B2,5,1000,WS,5.9,,,,,
B2,5,993,WS,4,,,,,
B2,5,992,WS,4.4,,,,,
B2,5,999,WS,10.3,,,,,
B2,5,998,WS,8.5,,,,,
B2,5,1008,WS,7.2,,,,,
B2,5,1003,WS,5.8,,,,,
B2,5,997,WS,5.4,,,,,
B2,5,1009,WS,7.3,,,,,
B2,5,1002,WS,4.3,,,,,
B2,5,1005,WS,4.7,,,,,
B2,5,1007,WS,6.2,,,,,
B2,5,1001,WS,6.8,,,,,
B2,5,1004,WS,7.8,,,,,
B2,5,1006,WS,7.6,,,,,
B2,5,1021,WS,8.9,,,,,
B2,5,1012,WS,4.1,,,,,
B2,5,1017,WS,8,,,,,
B2,5,1015,WS,9,,,,,
B2,5,1020,WS,7,,,,,
B2,5,1018,WS,6.3,,,,,
B2,5,1033,WS,3.2,,,,,
B2,5,1014,WS,5.9,,,,,
B2,5,1025,WS,9.1,,,,,
B2,5,1019,WS,4.9,,,,,
B2,5,1010,WS,6.2,,,,,
B2,5,1030,WS,5.8,,,,,
B2,5,1011,WS,8.3,,,,,
B2,5,1026,WS,4.1,,,,,
B2,5,WS1,WS,1,,,,,
B2,5,1032,WS,4.5,,,,,
B2,5,1016,WS,2.1,,,,,
B2,5,1041,WS,9.9,,,,,
B2,5,1040,WS,9.7,,,,,
B2,5,1054,WS,2.2,,,,,
B2,5,1045,WS,6.1,,,,,
B2,5,1044,WS,9.7,,,,,
B2,5,1068,WS,6.4,,,,,
B2,5,1064,WS,3.2,,,,,
B2,5,1043,WS,5,,,,,
B2,5,1046,WS,4.5,,,,,
B2,5,1066,WS,5.7,,,,,
B2,5,1063,WS,6.3,,,,,
B2,5,1041,WS,9.9,,,,,
B2,5,1042,WS,6.5,,,,,
B2,5,1069,WS,7.7,,,,,
B2,5,1038,WS,6.5,,,,,
B2,5,1060,WS,6.4,,,,,
B2,5,1047,WS,4.6,,,,,
B2,5,1062,WS,3.2,,,,,
B2,5,1059,WS,5.1,4.27,40,,,
B2,5,1070,WS,11.3,,,,,
B2,5,1058,WS,4.7,,,,,
B2,5,1054,WS,2.4,,,,,
B2,5,1073,WS,10.6,,,,,
B2,5,1061,WS,3.3,,,,,
B2,5,1071,WS,6,,,,,
B2,5,1074,WS,7.3,,,,,
B2,5,1075,WS,6,,,,,
B2,5,1055,WS,7.9,,,,,
B2,5,1076,WS,1.8,,,,,
B2,5,1056,WS,1.5,,,,,
B2,5,1072,WS,0.7,,,,,
B2,5,1057,WS,7.5,,,,,
B2,5,1051,WS,1,,,,,
B2,6,1145,RS,,,,,,BELOW DBH
B2,6,1143,NS,8.1,,,,,
B2,6,1137,RS,6.1,,,,,
B2,6,1131,BS,7,,,,,LIKELY BLACK SPRUCE
B2,6,1136,NS,9.9,,,,,
B2,6,1129,NS,8.3,,,,,
B2,6,1111,NS,7,,,,,
B2,6,1126,RS,3.9,,,,,
B2,6,1103,BS,8.4,,,,,LIKELY BLACK SPRUCE
B2,6,1130,NS,6,,,,,
B2,6,1122,RS,4.8,,,,,SAME BASE AS 1121
B2,6,1121,RS,4.9,,,,,SAME BASE AS 1122
B2,6,1105,RS,6.2,,,,,
B2,6,1119,RS,8.3,,,,,
B2,6,1109,NS,8.5,,,,,
B2,6,1120,RS,6.3,,,,,
B2,6,1128,NS,7.3,,,,,
B2,6,1127,NS,9.5,,,,,
B2,6,1125,NS,10.8,,,,,
B2,6,1124,RS,2.3,,,,,
B2,6,1123,NS,10.1,,,,,
B2,6,1108,RS,6.1,,,,,
B2,6,1107,RS,2.8,,,,,
B2,6,1106,NS,9.3,,,,,
B2,6,1089,NS,5.8,,,,,
B2,6,1090,RS,3.1,,,,,
B2,6,1091,RS,5,,,,,
B2,6,1087,NS,8.7,,,,,
B2,6,1086,NS,3.2,,,,,
B2,6,1088,RS,4.5,,,,,
B2,6,1147,NS,7.5,,,,,SAME BASE AS 1146
B2,6,1146,NS,5.8,,,,,SAME BASE AS 1147
B2,6,1084,NS,4.1,,,,,SAME BASE AS 1085
B2,6,1085,NS,3,,,,,SAME BASE AS 1084
B2,6,1213,NS,5.8,,,,,SAME BASE AS 1085
B2,6,1141,RS,8.2,,,,,
B2,6,1142,NS,11.1,,,,,
B2,6,1138,RS,12,,,,,
B2,6,1140,NS,8.6,,,,,
B2,6,1139,RS,3.6,,,,,
B2,6,1114,NS,6.1,4.53,17,,,SAME BASE AS 1115
B2,6,1115,NS,5,,,,,SAME BASE AS 1114
B2,6,1116,NS,9.5,,,,,
B2,6,1113,BS,11.2,,,,,PROBABLY BS
B2,6,1099,NS,7.6,,,,,SAME BASE AS 1100
B2,6,1100,NS,6.3,,,,,SAME BASE AS 1099
B2,6,1112,NS,10.4,,,,,
B2,6,1098,NS,12,5.64,32,,,
B2,6,1101,BS,1.9,,,,,SAME BASE AS 1102; LOOKS LIKE BOTH BS
B2,6,1102,BS,0.5,,,,,SAME BASE AS 1101; LOOKS LIKE BOTH BS
B2,6,1077,RS,5.8,,,,,
B2,6,1079,NS,6.8,,,,,SAME BASE AS 1078
B2,6,1078,NS,8.4,,,,,SAME BASE AS 1079
B2,6,1095,NS,7.3,,,,,SAME BASE AS 1094
B2,6,1094,NS,5.3,,,,,SAME BASE AS 1095
B2,6,1096,NS,7.8,,,,,
B2,6,1080,RS,5,,,,,
B2,6,1081,NS,6.8,,,,,
B2,6,1093,NS,8,,,,,
B2,6,1083,NS,7.5,,,,,
B2,6,1110,RS,8.2,5.34,28,,,
B2,6,1104,NS,7.7,,,,,
B2,6,1117,NS,6.5,,,,,SAME BASE AS 1118
B2,6,1118,NS,5.6,,,,,SAME BASE AS 1117
B2,6,1138,RS,0.4,,,,,
B2,6,1133,NS,7.9,,,,,
B2,6,1135,RS,11.3,,,,,
B2,6,1132,RS,6.6,,,,,
B2,6,1144,NS,4.9,,,,,
B2,7,1200,NS,7.7,,,,,
B2,7,1208,BS,8.3,,,,,
B2,7,1209,NS,5.9,,,,,
B2,7,1476,NS,6.6,,,,,MAYBE NEXT PLOT TREE
B2,7,1207,BS,3.6,,,,,
B2,7,1210,BS,6.8,,,,,
B2,7,1198,NS,6.3,,,,,
B2,7,1478,NS,6.6,,,,,
B2,7,1189,NS,7.3,,,,,
B2,7,1212,NS,9.2,,,,,
B2,7,1180,BS,4.7,,,,,
B2,7,1211,NS,7.5,,,,,
B2,7,1170,NS,6.5,,,,,FROM SAME STEM 1171
B2,7,1171,NS,4.1,,,,,FROM SAME STEM 1170
B2,7,1169,NS,6.5,,,,,FROM SAME STEM 1171
B2,7,1197,BS,8.5,,,,,
B2,7,1191,NS,4.1,,,,,FROM SAME STEM AS 1190
B2,7,1190,NS,4.5,,,,,FROM SAME STEM AS 1191
B2,7,1154,BS,4.6,,,,,
B2,7,1179,BS,7.8,,,,,
B2,7,1149,BS,10.8,,,,,
B2,7,1153,BS,8.9,,,,,
B2,7,1150,BS,8.4,,,,,
B2,7,1172,NS,8.5,,,,,
B2,7,1151,NS,9.8,,,,,
B2,7,1177,BS,8.7,,,,,
B2,7,1174,BS,7.5,,,,,SAME BASE AS 1173
B2,7,1173,BS,6.4,,,,,SAME BASE AS 1174
B2,7,1175,BS,7.3,,,,,SAME BASE AS 1173
B2,7,1178,BS,11.1,,,,,
B2,7,1192,BS,9.3,,,,,
B2,7,1167,NS,8.4,,,,,
B2,7,1178,,11.3,,,,,
B2,7,1193,NS,10.5,,,,,
B2,7,1128,NS,7.5,,,,,
B2,7,1127,NS,9.4,,,,,
B2,7,1475,NS,12.3,,,,,MAYBE NEXT PLOT
B2,7,1204,BS,9.4,,,,,
B2,7,1203,BS,9.4,6.32,13,,,
B2,7,1201,,10,,,,,
B2,7,1206,NS,6,,,,,SAME BASE AS 1205
B2,7,1205,NS,6.4,,,,,SAME BASE AS 1206
B2,7,1202,NS,10.2,,,,,
B2,7,1183,BS,9.7,,,,,
B2,7,1184,BS,10.9,,,,,
B2,7,1185,NS,6.8,,,,,
B2,7,1161,BS,8.5,,,,,
B2,7,1162,NS,10.2,,,,,
B2,7,1160,NS,6.3,,,,,
B2,7,1159,NS,9.1,,,,,
B2,7,1148,BS,10,,,,,
B2,7,1158,BS,10.9,,,,,
B2,7,1147,NS,7.3,,,,,SAME BASE AS 1146 MAY BE NEXT PLOT
B2,7,1146,NS,5.9,,,,,SAME BASE AS 1147 MAY BE NEXT PLOT
B2,7,1157,BS,10.1,,,,,
B2,7,1156,NS,5.1,,,,,SAME BASE AS 1155
B2,7,1155,NS,4.3,,,,,SAME BASE AS 1156
B2,7,1164,NS,1,,,,,SAME BASE AS 1163
B2,7,1163,NS,1.5,,,,,SAME BASE AS 1164
B2,7,1167,NS,1.4,,,,,SAME BASE AS 1166
B2,7,1166,NS,2.4,,,,,SAME BASE AS 1167
B2,7,1165,NS,1.1,,,,,SAME BASE AS 1166
B2,7,1168,BS,9.7,,,,,
B2,7,1182,BS,11.5,,,,,
B2,7,1181,NS,3.5,,,,,
B2,7,1186,NS,9.2,,,,,
B2,7,1199,NS,5,,,,,
B2,7,1188,BS,3.9,,,,,
B2,7,1194,BS,10.7,,,,,
B2,7,1214,BS,8.6,,,,,
B2,7,1215,NS,9.5,,,,,
B2,8,1239,BS,8.9,,,,,
B2,8,1250,BS,1.6,,,,,
B2,8,1251,BS,2.2,,,,,
B2,8,1256,BS,4.4,,,,,
B2,8,1255,BS,0.4,,,,,
B2,8,1254,BS,2.1,,,,,
B2,8,1252,BS,4.7,,,,,
B2,8,1238,BS,3.7,,,,,
B2,8,1269,BS,8.4,,,,,
B2,8,1253,BS,3,,,,,
