Block,Plot,Tree,Spp.,DBH,Ht,HCB,CW1,CW2,Comments
B2,10,1383,BS,5.2,,,,,SAME POINT
B2,10,1384,BS,8.3,,,,,SAME POINT
B2,10,1381,BS,8.5,,,,,
B2,10,1380,RS,6.4,,,,,
B2,10,1379,BS,11.3,,,,,
B2,10,1365,RS,4.4,,,,,
B2,10,1366,RS,4.6,,,,,AT SAME POINT AS 1377
B2,10,1363,BS,1.9,,,,,
B2,10,1367,RS,4.6,,,,,AT SAME POINT AS 1366 & 1377
B2,10,1361,BS,6.2,,,,,
B2,10,1310,RS,5.1,,,,,
B2,10,1360,RS,6.6,,,,,
B2,10,1345,RS,4.6,,,,,SAME POINT
B2,10,1346,RS,4.7,,,,,SAME POINT
B2,10,1344,BS,9.7,,,,,
B2,10,1358,BS,11,,,,,
B2,10,1347,RS,5.6,,,,,
B2,10,1359,RS,6.4,,,,,
B2,10,1355,BS,10.5,,,,,
B2,10,1368,BS,8.3,,,,,
B2,10,1356,RS,,,,,,BELOW DBH
B2,10,1378,RS,5.9,,,,,
B2,10,1357,RS,3.2,,,,,1356 & 1357 AT SAME POINT
B2,10,1385,RS,0.2,,,,,
B2,10,1377,BS,4.9,,,,,
B2,10,1397,BS,8.4,,,,,
B2,10,1401,RS,1.7,,,,,
B2,10,1387,RS,4.8,,,,,
B2,10,1395,BS,6.3,,,,,
B2,10,1403,RS,7.3,,,,,
B2,10,1655,BS,9.3,,,,,SAME POINT
B2,10,1656,BS,9.2,,,,,SAME POINT
B2,10,1402,BS,9.7,,,,,
B2,10,1404,BS,7.8,,,,,
B2,10,1405,BS,9.2,,,,,
B2,10,1406,BS,,,,,,BELOW DBH
B2,10,1394,RS,8.5,,,,,
B2,10,1393,RS,3.2,,,,,
B2,10,1389,BS,6.4,,,,,
B2,10,1388,RS,4,,,,,
B2,10,1375,BS,8.3,,,,,SAME BASE
B2,10,1374,BS,7.8,,,,,SAME BASE
B2,10,1376,BS,5,,,,,
B2,10,1369,RS,3.4,,,,,
B2,10,1352,BS,10.9,,,,,
B2,10,1354,RS,7.4,,,,,
B2,10,1351,RS,6,,,,,
B2,10,1353,BS,9.5,,,,,
B2,10,1348,BS,10.7,,,,,
B2,10,1349,RS,4.2,,,,,
B2,10,1350,BS,6.8,,,,,
B2,10,1371,BS,8,,,,,
B2,10,1370,BS,9.7,,,,,
B2,10,1372,BS,10.9,,,,,
B2,10,1373,RS,1.3,,,,,
B2,10,1391,BS,7.3,,,,,
B2,10,1392,RS,4.8,,,,,
B2,10,1390,BS,6.8,,,,,
B2,10,1408,BS,12.2,,,,,
B2,10,1409,BS,9.8,,,,,
B3,1,1429,WS,10.3,,,,,
B3,1,1446,WS,7.2,,,,,
B3,1,1421,WS,5.1,,,,,
B3,1,1445,WS,5.3,,,,,
B3,1,1419,WS,8.4,,,,,
B3,1,1413,WS,8.5,,,,,
B3,1,1414,WS,,,,,,SHORTER THAN DBH
B3,1,1447,WS,6.4,,,,,
B3,1,1415,WS,9.3,,,,,
B3,1,1437,WS,11,,,,,
B3,1,1420,WS,7.6,,,,,
B3,1,1418,WS,10.7,,,,,
B3,1,1454,WS,10.6,,,,,
B3,1,1436,WS,7.4,4.65,85,,,
B3,1,1465,WS,11.4,,,,,
B3,1,1416,WS,8.5,,,,,
B3,1,1417,WS,8.1,,,,,
B3,1,1431,WS,2,,,,,
B3,1,1432,WS,5.2,,,,,
B3,1,1430,WS,5.8,,,,,
B3,1,1434,WS,2.8,,,,,
B3,1,1435,WS,9.5,,,,,
B3,1,1433,WS,10.7,,,,,
B3,1,1468,WS,7,,,,,
B3,1,1448,WS,8.2,,,,,
B3,1,1449,WS,7.8,,,,,
B3,1,1453,WS,5.2,,,,,
B3,1,1466,WS,10.5,,,,,
B3,1,1451,WS,9.5,,,,,
B3,1,1450,WS,8.4,,,,,
B3,1,1452,WS,2.1,,,,,
B3,1,1467,WS,4,,,,,
B3,1,1746,WS,8.6,,,,,CORNER TREE
B3,1,1474,NS,9.2,,,,,"NOT IN PLOT, [SP=r BUT NOT TAGGED?"
B3,1,1460,WS,8.4,,,,,
B3,1,1473,WS,6.4,,,,,
B3,1,1472,WS,10,,,,,
B3,1,1410,WS,8.6,,,,,
B3,1,1461,WS,5.9,,,,,
B3,1,1471,WS,8.9,,,,,
B3,1,1470,WS,5.9,5.23,58,,,
B3,1,1411,WS,8.3,,,,,
B3,1,1460,WS,8.5,,,,,
B3,1,1459,WS,1.7,,,,,
B3,1,1425,WS,8.2,,,,,
B3,1,1469,WS,9,,,,,
B3,1,1458,WS,6.6,,,,,
B3,1,1424,WS,9.2,6.63,114,,,
B3,1,1441,WS,6.3,,,,,
B3,1,1463,WS,11.3,,,,,
B3,1,1426,WS,6.8,,,,,
B3,1,1443,WS,8.2,,,,,
B3,1,1442,WS,5.3,,,,,
B3,1,1462,WS,5.5,,,,,
B3,1,1447,WS,10.9,,,,,
B3,1,1440,WS,4.5,,,,,
B3,1,1456,WS,8.6,,,,,
B3,1,1412,WS,11.9,,,,,
B3,1,1457,WS,2.4,,,,,
B3,1,1439,WS,7.6,,,,,
B3,1,1423,WS,9.5,,,,,
B3,1,1444,WS,2.6,,,,,
B3,1,1464,WS,6.5,,,,,
B3,1,1422,WS,8.4,,,,,
B3,1,1428,WS,7.8,,,,,
B3,1,1438,WS,10.3,,,,,
B3,1,1455,WS,6.5,5.16,61,,,
B3,2,1538,BS,10,,,,,
B3,2,1522,BS,1.5,,,,,
B3,2,1537,BS,8.1,,,,,
B3,2,1511,RS,4.3,,,,,
B3,2,1524,RS,5.7,,,,,
B3,2,1536,RS,9.2,,,,,
B3,2,1510,BS,8.4,,,,,
B3,2,1523,BS,4,,,,,
B3,2,1487,RS,8,,,,,
B3,2,1525,RS,9.1,,,,,
B3,2,1521,RS,3.9,,,,,
B3,2,1488,BS,5.9,,,,,
B3,2,1520,BS,3.9,,,,,
B3,2,1486,RS,8.3,,,,,
B3,2,1512,RS,5.5,,,,,
B3,2,1489,RS,6.3,,,,,
B3,2,1485,BS,6.5,,,,,
B3,2,1514,RS,3.8,,,,,
B3,2,1513,RS,2.8,,,,,
B3,2,1509,BS,3.7,,,,,
B3,2,1491,RS,,,,,,SHORTER THAN DBH
B3,2,1490,BS,5.9,,,,,
B3,2,1508,BS,2.1,,,,,
B3,2,1507,RS,3.9,,,,,
B3,2,1506,BS,7.5,,,,,
B3,2,1515,BS,5.3,,,,,
B3,2,1484,BS,8.5,,,,,
B3,2,1505,RS,6.7,,,,,
B3,2,1501,RS,4.5,,,,,
B3,2,1534,BS,6,,,,,
B3,2,1483,BS,3,,,,,
B3,2,1499,BS,8,,,,,
B3,2,1479,RS,3.5,,,,,
B3,2,1480,BS,3.7,,,,,A NOTE ABOUT 1539 ON THE BOTTOM OF THE DATA SHEET
B3,2,1492,BS,3.4,,,,,
B3,2,1494,BS,5.3,,,,,
B3,2,1495,BS,3.1,,,,,
B3,2,1493,BS,3.1,,,,,
B3,2,1482,BS,8.4,,,,,
B3,2,1496,BS,2.2,,,,,
B3,2,1497,BS,1.1,,,,,
B3,2,1481,BS,5.1,,,,,
B3,2,1526,BS,,,,,,BELOW DBH
B3,2,1527,BS,,,,,,BELOW DBH
B3,2,1528,BS,2.5,,,,,
B3,2,1503,RS,4.9,,,,,
B3,2,1504,RS,3,,,,,
B3,2,1529,BS,2.6,,,,,
B3,2,1517,RS,4.3,,,,,
B3,2,1498,BS,1.9,,,,,
B3,2,1530,BS,1.8,,,,,
B3,2,1502,RS,4.6,,,,,
B3,2,1531,BS,2.5,,,,,
B3,2,1516,RS,4.5,,,,,
B3,2,1519,RS,10.6,,,,,
B3,2,1523,BS,7,,,,,
B3,2,1533,BS,9.7,,,,,
B3,2,1518,RS,3.3,,,,,
B3,2,1540,BS,8.8,,,,,
B3,2,1535,RS,6.1,,,,,
B3,3,1551,BS,6.8,,,,,
B3,3,1600,BS,3.6,3.42,32,,,
B3,3,1598,BS,7.1,,,,,
B3,3,1549,BS,5.3,,,,,
B3,3,1599,BS,7.1,,,,,
B3,3,1601,BS,7.5,,,,,
B3,3,1552,BS,4,,,,,
B3,3,1597,BS,6.7,,,,,
B3,3,1596,BS,2,,,,,
B3,3,1574,BS,9,,,,,
B3,3,1595,BS,8.5,,,,,
B3,3,1602,BS,3.8,,,,,
B3,3,1584,BS,8.9,,,,,
B3,3,1603,BS,4.6,,,,,
B3,3,1586,BS,9.6,,,,,WITH 1587
B3,3,1587,BS,7.6,,,,,WITH 1586
B3,3,1554,BS,3.8,,,,,
B3,3,1585,BS,7.9,,,,,
B3,3,1604,BS,6.8,,,,,
B3,3,1583,BS,7.7,,,,,
B3,3,1582,BS,11.4,,,,,
B3,3,1594,BS,9.9,,,,,
B3,3,1573,BS,8.3,,,,,
B3,3,1575,BS,7.2,,,,,
B3,3,1589,BS,8.2,,,,,
B3,3,1588,BS,9.7,,,,,
B3,3,1563,BS,6.8,,,,,
B3,3,1581,BS,7.9,,,,,WITH 1580
B3,3,1580,BS,3.1,,,,,WITH 1581
B3,3,1576,BS,9.1,,,,,
B3,3,1605,BS,7.2,,,,,
B3,3,1555,BS,6.4,,,,,
B3,3,1579,BS,4.1,,,,,
B3,3,1593,BS,9.3,,,,,
B3,3,1573,BS,8.3,,,,,
B3,3,1577,BS,5.3,,,,,
B3,3,1542,BS,4.6,,,,,
B3,3,1590,BS,6,,,,,
B3,3,1571,BS,9,,,,,
B3,3,1548,BS,6.8,,,,,
B3,3,1572,BS,9.7,,,,,
B3,3,1592,BS,1.5,,,,,DEAD
B3,3,1547,BS,10.2,,,,,
B3,3,1564,BS,5.4,,,,,
B3,3,1543,BS,9,,,,,
B3,3,1570,BS,10.3,,,,,
B3,3,1591,BS,10.3,,,,,
B3,3,1556,BS,5.9,5.21,18,,,
B3,3,1578,BS,4.2,,,,,
B3,3,1546,BS,8.4,,,,,
B3,3,1569,BS,6.3,,,,,
B3,3,1566,BS,9.7,,,,,
B3,3,1565,BS,9.7,,,,,
B3,3,1545,BS,6.9,,,,,
B3,3,1560,BS,2.6,,,,,
B3,3,1568,BS,8.2,,,,,
B3,3,1544,BS,9.2,,,,,
B3,3,1562,BS,5.6,,,,,
B3,3,1557,BS,8.4,,,,,
B3,3,1559,BS,9,,,,,
B3,3,1558,BS,7.7,,,,,
B3,3,1561,BS,9.1,5.69,12,,,
B3,3,1567,BS,4.5,,,,,
B3,3,1888,BS,7.8,,,,,
B3,3,1591,BS,6.8,,,,,
B3,4,1647,WS,9.3,,,,,
B3,4,1969,WS,8.9,,,,,
B3,4,1646,RS,1.1,,,,,
B3,4,1644,RS,1.2,,,,,
B3,4,1648,RS,6.1,,,,,
B3,4,1645,WS,9.7,,,,,
B3,4,1633,WS,8.1,,,,,
B3,4,1643,WS,11,,,,,
B3,4,1632,RS,8,,,,,
B3,4,1626,WS,7.6,,,,,
B3,4,1634,WS,11.5,,,,,
B3,4,1631,WS,6.7,,,,,
B3,4,1623,WS,6.6,,,,,
B3,4,1629,RS,6.4,,,,,
B3,4,1630,WS,8.1,,,,,
B3,4,1614,RS,3.5,,,,,
B3,4,1642,RS,2,,,,,
B3,4,1625,RS,4.8,,,,,
B3,4,1613,WS,7.7,,,,,
B3,4,1607,RS,3.1,,,,,
B3,4,1625,WS,9.6,,,,,
B3,4,1616,RS,6.6,,,,,
B3,4,1617,WS,8,,,,,
B3,4,1615,RS,3.4,,,,,
B3,4,1612,RS,4,,,,,
B3,4,1608,RS,5.2,,,,,
B3,4,1606,RS,6.8,,,,,
B3,4,1611,WS,4.4,,,,,
B3,4,1607,WS,3.3,,,,,
B3,4,1618,WS,7.5,,,,,
B3,4,1636,RS,3,,,,,
B3,4,1622,WS,8.2,,,,,
B3,4,1635,RS,4.1,,,,,
B3,4,1649,WS,8.9,,,,,
B3,4,1609,WS,3.9,,,,,
B3,4,1637,WS,10.1,,,,,
B3,4,1628,WS,6.7,,,,,
B3,4,1610,RS,6.8,,,,,
B3,4,1638,RS,4.9,,,,,
B3,4,1619,RS,5,,,,,
B3,4,1641,WS,10.4,,,,,
B3,4,1621,RS,5,,,,,
B3,4,1627,WS,6.5,,,,,
B3,4,1653,WS,7.2,,,,,
B3,4,1654,WS,6.7,,,,,
B3,4,1639,WS,6.8,,,,,
B3,4,1652,RS,7.8,,,,,
B3,4,1650,WS,12.5,,,,,
B3,4,1951,WS,8.7,,,,,
B3,4,1640,RS,6.4,,,,,
B3,4,1620,WS,8.4,,,,,
B3,4,1702,WS,5.9,,,,,
B3,4,1665,WS,11.1,,,,,
B3,4,1682,WS,6.3,,,,,
B3,4,1703,RS,5,,,,,
B3,4,1666,RS,7.3,,,,,
B3,5,1677,BS,10.3,,,,,
B3,5,1717,BS,4.5,,,,,
B3,5,1697,WS,8.4,,,,,
B3,5,1688,WS,9,,,,,
B3,5,1725,WS,7.7,,,,,
B3,5,1696,BS,9.6,,,,,
B3,5,1707,BS,1.9,,,,,
B3,5,1724,WS,,,,,,
B3,5,1695,WS,8.6,,,,,
B3,5,1709,BS,3.2,,,,,DEAD
B3,5,1716,WS,5.5,,,,,
B3,5,1708,WS,7.7,,,,,
B3,5,1726,BS,7.7,,,,,
B3,5,1738,BS,11,,,,,
B3,5,1713,WS,8.2,,,,,
B3,5,1735,WS,8.5,,,,,
B3,5,1737,WS,,,,,,UNDER DBH
B3,5,1714,BS,7.5,,,,,
B3,5,1734,BS,8.2,,,,,
B3,5,1736,WS,,,,,,UNDER DBH
B3,5,1728,BS,8.7,,,,,WITH 1729
B3,5,1727,WS,9.7,,,,,
B3,5,1733,WS,9.9,,,,,
B3,5,1729,BS,2.9,,,,,WITH 1728
B3,5,1732,BS,6.7,,,,,
B3,5,1730,WS,7.2,,,,,
B3,5,1731,WS,13.6,,,,,
B3,5,1710,WS,8.2,,,,,
B3,5,1694,BS,7.8,,,,,
B3,5,1712,WS,8.8,,,,,
B3,5,1690,WS,9,,,,,
B3,5,1711,BS,4.8,,,,,
B3,5,1693,WS,1.2,,,,,
B3,5,1740,WS,11.3,,,,,
B3,5,1721,WS,2.6,,,,,
B3,5,1722,WS,8.4,,,,,
B3,5,1720,WS,10,,,,,
B3,5,1723,BS,11.1,,,,,
B3,5,1719,BS,9.2,,,,,
B3,5,1718,WS,10.6,,,,,
B3,5,1704,WS,4.3,,,,,
B3,5,1705,WS,8.5,,,,,
B3,5,1699,WS,4.8,,,,,
B3,5,1701,WS,5.2,,,,,
B3,5,1700,BS,4.3,,,,,
B3,5,1685,BS,6.7,,,,,
B3,5,1683,BS,7.5,,,,,
B3,5,1684,WS,6,,,,,
B3,5,1679,WS,6.2,,,,,
B3,5,1681,WS,8.9,,,,,
B3,5,1680,BS,4.6,,,,,
B3,5,1669,BS,6.9,,,,,
B3,5,1668,WS,12.4,,,,,
B3,5,1667,BS,9,,,,,
B3,5,1664,WS,12.9,,,,,
B3,5,1656,BS,9.3,,,,,
B3,5,1655,BS,9.7,,,,,
B3,5,1657,BS,5.5,,,,,
B3,5,1658,BS,9.1,,,,,
B3,5,1663,WS,9.2,,,,,
B3,5,1670,WS,8.1,,,,,
B3,5,1662,BS,9.4,,,,,
B3,5,1678,WS,12.7,,,,,
B3,5,1686,WS,7.2,,,,,
B3,5,1671,WS,10.2,,,,,
B3,5,1698,BS,4.7,,,,,
B3,5,1687,BS,8.8,,,,,
B3,5,1676,WS,8.9,,,,,
B3,5,1689,BS,7.8,,,,,
B3,5,1672,,6.7,,,,,
B3,5,1692,BS,7.4,,,,,
B3,5,1661,WS,8.3,,,,,
B3,5,1673,WS,11.5,,,,,
B3,5,1674,BS,9.4,,,,,
B3,5,1660,WS,10.9,,,,,
B3,5,1675,WS,9.5,,,,,
B3,6,1799,NS,5.2,,,,,
B3,6,1800,NS,8,,,,,
B3,6,1781,RS,7.1,,,,,
B3,6,1780,NS,6.1,,,,,
B3,6,1747,NS,7.1,,,,,
B3,6,1798,RS,6.6,,,,,
B3,6,1779,RS,3.1,,,,,
B3,6,1762,RS,1.8,,,,,
B3,6,1778,NS,7.7,,,,,
B3,6,1764,NS,7.4,,,,,
B3,6,1801,RS,5.7,,,,,
B3,6,1761,NS,9.6,,,,,
B3,6,1797,NS,11,,,,,
B3,6,1765,NS,8,,,,,
B3,6,1748,RS,5.6,,,,,
B3,6,1763,NS,1.8,,,,,
B3,6,1783,RS,4.5,,,,,
B3,6,1782,NS,9.2,,,,,
B3,6,1760,RS,9.4,,,,,
B3,6,1749,NS,7.7,,,,,
B3,6,1776,NS,9.2,,,,,
B3,6,1784,NS,9.7,,,,,
B3,6,1750,RS,7.7,,,,,
B3,6,1777,RS,2,,,,,
B3,6,1759,NS,9.7,,,,,
B3,6,1775,NS,8.1,,,,,
B3,6,1796,NS,12,,,,,
B3,6,1751,NS,6.1,,,,,
B3,6,1774,RS,2.5,,,,,
B3,6,1758,RS,9.1,,,,,
B3,6,1766,NS,8.7,,,,,
B3,6,1787,NS,8.2,,,,,
B3,6,1785,RS,5,,,,,
B3,6,1786,RS,6,,,,,
B3,6,1773,NS,8.5,,,,,
B3,6,1788,RS,0.9,,,,,
B3,6,1793,NS,4.5,,,,,
B3,6,1752,RS,8.7,,,,,
B3,6,1792,NS,5,,,,,
B3,6,1767,NS,8,,,,,
B3,6,1757,NS,4.5,,,,,SPROUT W/1756
B3,6,1756,NS,4.3,,,,,SPROUT W/1757
B3,6,1772,RS,5.4,,,,,
B3,6,1795,RS,6.8,,,,,
B3,6,1755,RS,2.6,,,,,
B3,6,1771,NS,7.2,,,,,DEAD
B3,6,1753,NS,4,,,,,
B3,6,1794,RS,3.8,,,,,
B3,6,1790,NS,7,,,,,
B3,6,1791,RS,2.5,,,,,
B3,6,1741,NS,5.5,,,,,
B3,6,1754,RS,6.1,,,,,
B3,6,1789,NS,9.6,,,,,
B3,6,1803,NS,8.2,,,,,
B3,6,1804,NS,8.9,,,,,
B3,6,1769,NS,2,,,,,SPECIES MAY BE RS?
B3,6,1807,RS,4.2,,,,,
B3,6,1806,NS,8.3,,,,,
B3,6,1805,NS,10.5,,,,,
B3,6,1770,RS,3.8,,,,,
B3,6,1768,NS,5.2,,,,,
B3,7,1816,NS,10.9,,,,,
B3,7,1828,BS,3.8,,,,,DEAD
B3,7,1829,NS,10.5,,,,,
B3,7,1830,NS,8.7,,,,,
B3,7,1843,BS,2,,,,,
B3,7,1841,BS,7.4,,,,,
B3,7,1842,NS,7.5,,,,,
B3,7,1844,NS,6,,,,,
B3,7,1855,BS,3.2,,,,,
B3,7,1827,BS,3.5,,,,,
B3,7,1845,BS,8.5,,,,,
B3,7,1856,NS,6.7,,,,,
B3,7,1872,BS,5.3,,,,,
B3,7,1857,BS,7.7,,,,,
B3,7,1858,NS,7.1,,,,,
B3,7,1873,BS,8.8,,,,,
B3,7,1874,BS,7.5,,,,,
B3,7,1859,BS,6,,,,,
B3,7,1871,NS,6,,,,,
B3,7,1860,BS,2.3,,,,,
B3,7,1875,NS,8.7,,,,,
B3,7,1846,BS,6,,,,,LEANING
B3,7,1876,BS,7.2,,,,,
B3,7,1817,BS,4.5,,,,,
B3,7,1840,NS,1.7,,,,,
B3,7,1870,BS,3.5,,,,,
B3,7,1818,NS,5.4,,,,,
B3,7,1869,NS,4.5,,,,,
B3,7,1831,BS,7.1,,,,,
B3,7,1861,NS,7.7,,,,,
B3,7,1826,BS,9.3,,,,,"""A REAL NICE ONE"""
B3,7,1862,NS,4.3,,,,,
B3,7,1832,NS,5.5,,,,,
B3,7,1838,BS,0,,,,,EXACTLY 4.5 FT TALL
B3,7,1839,BS,0.4,,,,,
B3,7,1826,BS,9,,,,,
B3,7,1847,NS,,,,,,SHORTER THAN DBH
B3,7,1825,NS,6.1,,,,,
B3,7,1854,BS,7,,,,,
B3,7,1848,BS,4.8,,,,,
B3,7,1837,NS,9.5,,,,,
B3,7,1811,BS,11.5,,,,,NEXT PLOT?
B3,7,1819,NS,5.7,,,,,
B3,7,1821,BS,4.9,,,,,FORKED WITH 1820
B3,7,1820,BS,4.5,,,,,FORKED WITH 1821
B3,7,1824,BS,2.1,,,,,DEAD
B3,7,1823,NS,3.8,,,,,
B3,7,1822,BS,5,,,,,
B3,7,1833,NS,10.5,,,,,
B3,7,1834,BS,8.1,,,,,
B3,7,1835,NS,6.6,,,,,
B3,7,1836,NS,8.4,,,,,
B3,7,1853,BS,4.1,,,,,
B3,7,1850,NS,9.5,,,,,
B3,7,1849,BS,5.5,,,,,
B3,7,1863,NS,8.6,,,,,
B3,7,1852,NS,7.2,,,,,
B3,7,1851,BS,5.1,,,,,
B3,7,1864,BS,4.7,,,,,
B3,7,1868,BS,1.8,,,,,
B3,7,1865,NS,5.4,,,,,
B3,7,1877,NS,8.1,,,,,
B3,7,1866,BS,3.5,,,,,
B3,7,1867,NS,7.7,,,,,
B3,7,1880,NS,9.1,,,,,
B3,7,1878,NS,5.5,,,,,
B3,7,1879,BS,4.6,,,,,
B3,8,1957,NS,7,,,,,
B3,8,1956,WS,4.4,,,,,
B3,8,1941,NS,7,,,,,
B3,8,1940,WS,5.3,,,,,
B3,8,1924,NS,6.9,,,,,
B3,8,1923,NS,4.4,,,,,
B3,8,1922,NS,2.2,,,,,
B3,8,1919,WS,7.2,,,,,
B3,8,1918,NS,9.4,,,,,
B3,8,1958,WS,8.7,,,,,
B3,8,1955,NS,6.7,,,,,
B3,8,1942,WS,0.4,,,,,
B3,8,1939,NS,11.3,,,,,
B3,8,1925,WS,7.7,,,,,
B3,8,1917,NS,7.6,,,,,
B3,8,1920,NS,8.4,,,,,FORKED
B3,8,1921,NS,3.5,,,,,FORKED
B3,8,1891,WS,7.3,,,,,
B3,8,1916,WS,9.6,,,,,
B3,8,1890,NS,4.7,,,,,
B3,8,1892,NS,8.8,,,,,
B3,8,1887,WS,8.7,,,,,
B3,8,1889,NS,7.2,,,,,
B3,8,1893,NS,6.6,,,,,FORKED
B3,8,1895,NS,7.4,,,,,FORKED
B3,8,1886,WS,4.6,,,,,
B3,8,1896,WS,3.2,,,,,
B3,8,1884,WS,6.6,,,,,
B3,8,1885,NS,8.2,,,,,
B3,8,1894,NS,10,,,,,
B3,8,1898,WS,10.7,,,,,
B3,8,1915,WS,8,,,,,
B3,8,1897,NS,8.7,,,,,
B3,8,1913,NS,6.1,,,,,
B3,8,1883,WS,4.6,,,,,
B3,8,1914,WS,10.3,,,,,
B3,8,1927,WS,7.2,,,,,
B3,8,1926,WS,6.1,,,,,
B3,8,1937,WS,9.1,,,,,
B3,8,1928,NS,10.7,,,,,
B3,8,1899,NS,3.5,,,,,
B3,8,1938,NS,2.9,,,,,
B3,8,1907,WS,8.8,,,,,
B3,8,1936,WS,6.3,,,,,
B3,8,1943,NS,7.4,,,,,BROKEN TOP
B3,8,1912,NS,4.2,,,,,
B3,8,1945,NS,6.5,,,,,
B3,8,1954,WS,9.4,,,,,
B3,8,1929,WS,7.1,,,,,
B3,8,1959,NS,4.1,,,,,SPROUT
B3,8,1935,WS,7.1,,,,,
B3,8,1944,NS,6.6,,,,,
B3,8,1953,WS,8.8,,,,,
B3,8,1946,NS,6.4,,,,,
B3,8,1953,NS,3.7,,,,,
B3,8,1960,NS,6.8,,,,,
B3,8,1961,WS,7.5,,,,,
B3,8,1962,WS,11.5,,,,,
B3,8,1963,NS,7.2,,,,,
B3,8,1952,NS,3.6,,,,,
B3,8,1951,NS,10.3,,,,,
B3,8,1947,NS,7.6,,,,,
B3,8,1948,WS,7.5,,,,,
B3,8,1964,NS,6.5,,,,,
B3,8,1934,WS,6.5,,,,,
B3,8,1882,NS,8.8,,,,,
B3,8,1950,WS,8,,,,,
B3,8,1949,NS,4.9,,,,,
B3,8,1900,WS,6.7,,,,,
B3,8,1930,NS,6.9,,,,,
B3,8,1933,NS,3,,,,,
B3,8,1905,NS,8.5,,,,,
B3,8,1931,WS,6.2,,,,,
B3,8,1932,NS,9,,,,,
B3,8,1905,NS,5,,,,,
B3,8,1911,WS,3.9,,,,,
B3,8,1902,WS,9.2,,,,,
B3,8,1901,NS,7.7,,,,,
B3,8,1910,NS,6.1,,,,,STEMMED
B3,8,1909,NS,5.4,,,,,STEMMED
B3,8,1904,WS,5.5,,,,,
B3,8,1903,NS,8.2,,,,,
B3,8,1908,WS,8.8,,,,,
B3,8,1881,NS,7.2,,,,,
B3,9,1033,NS,8,,,,,
B3,9,1034,NS,6.8,,,,,
B3,9,1028,NS,5.5,,,,,
B3,9,1043,NS,7.8,,,,,
B3,9,1047,NS,6.9,,,,,
B3,9,1042,NS,6.6,4.12,20,,,
B3,9,1044,NS,2.2,,,,,
B3,9,1026,NS,,,,,,BELOW DBH
B3,9,1045,NS,3,,,,,
B3,9,1030,NS,7.4,,,,,
B3,9,1041,NS,6.2,,,,,
B3,9,1015,NS,7.3,,,,,
B3,9,1024,NS,8,,,,,
B3,9,1029,NS,6.7,,,,,
B3,9,1013,NS,11.2,,,,,
B3,9,1016,NS,6.9,,,,,
B3,9,1019,NS,9.9,,,,,
B3,9,1014,NS,7.2,,,,,
B3,9,1027,NS,6.7,,,,,
B3,9,1017,NS,5.4,,,,,
B3,9,1026,NS,,,,,,MISSING TREE
B3,9,1018,NS,6.9,,,,,
B3,9,1023,NS,3.3,,,,,
B3,9,1008,NS,6.5,,,,,
B3,9,1006,NS,4.2,,,,,
B3,9,1005,NS,3.9,,,,,
B3,9,1007,NS,4.4,,,,,
B3,9,1025,NS,3,,,,,
B3,9,1004,NS,7.4,,,,,
B3,9,1022,NS,7.5,,,,,
B3,9,1993,NS,3.6,,,,,
B3,9,1035,NS,8.9,,,,,
B3,9,1994,NS,8.1,,,,,
B3,9,1996,NS,10.3,,,,,
B3,9,1021,NS,3.2,,,,,
B3,9,1995,NS,9.2,,,,,
B3,9,1989,NS,9,,,,,
B3,9,1988,NS,7.2,,,,,
B3,9,1020,NS,7.1,,,,,
B3,9,1978,NS,2.9,,,,,
B3,9,1977,NS,2.8,,,,,
B3,9,1987,NS,4.9,,,,,
B3,9,1039,NS,9.6,,,,,
B3,9,2000,NS,3.9,,,,,
B3,9,1979,NS,5.9,,,,,
B3,9,1001,NS,2.1,,,,,
B3,9,1997,NS,9.7,,,,,
B3,9,1038,NS,7.5,,,,,
B3,9,1999,NS,12.1,,,,,
B3,9,1980,NS,8.1,,,,,
B3,9,1003,NS,8.3,,,,,
B3,9,1037,NS,7.3,,,,,
B3,9,1998,NS,8.6,,,,,
B3,9,1984,NS,12,,,,,
B3,9,1002,NS,3.9,,,,,
B3,9,1972,NS,8.7,,,,,
B3,9,1985,NS,8.6,,,,,
B3,9,1996,NS,10.2,,,,,
B3,9,1036,NS,7.6,,,,,
B3,9,1973,NS,5.6,,,,,
B3,9,1983,NS,7.2,,,,,
B3,9,1980,NS,8.2,,,,,
B3,9,1979,NS,5.7,,,,,
B3,9,1966,NS,3.4,,,,,
B3,9,1982,NS,7.8,,,,,
B3,9,1970,NS,5,,,,,
B3,9,1969,NS,5.9,,,,,
B3,9,NS1,NS,2.8,,,,,
B3,9,1967,NS,6.4,,,,,
B3,9,1968,NS,12.6,,,,,
B3,9,1987,NS,4.7,,,,,
B3,9,1981,NS,9.7,,,,,
B3,9,1971,NS,8.7,,,,,
B3,9,1969,NS,5.7,,,,,
B3,9,1968,NS,12.5,,,,,
B3,10,1086,RS,5.2,,,,,
B3,10,1076,RS,1.1,,,,,
B3,10,1066,RS,6.8,,,,,
B3,10,1067,RS,5.5,,,,,
B3,10,1075,RS,3.4,,,,,TIP-UP
B3,10,1088,RS,5.4,4.4,11,,,
B3,10,1065,RS,6.4,,,,,
B3,10,1077,RS,4,,,,,
B3,10,1089,RS,1,,,,,DEAD
B3,10,1074,RS,,,,,,ALIVE
B3,10,1064,RS,3.8,,,,,
B3,10,1085,RS,8.2,,,,,
